Temperature [K]	Metal-rich	Ultramafic	Feldspathic	Basaltic	Granitoid	Clay	Ice-rich silicate	Fe-oxidized	
156.801369	1.425551e+01	1.361250e+01	1.404595e+01	1.525225e+01	1.204770e+01	1.465455e+01	1.577122e+01	1.410523e+01	
157.272280	1.449651e+01	1.384288e+01	1.428204e+01	1.550894e+01	1.225544e+01	1.490345e+01	1.603581e+01	1.434500e+01	
157.744605	1.474121e+01	1.407680e+01	1.452173e+01	1.576954e+01	1.246643e+01	1.515618e+01	1.630441e+01	1.458848e+01	
158.218348	1.498965e+01	1.431429e+01	1.476507e+01	1.603412e+01	1.268071e+01	1.541281e+01	1.657710e+01	1.483572e+01	
158.693515	1.524188e+01	1.455541e+01	1.501211e+01	1.630272e+01	1.289835e+01	1.567339e+01	1.685393e+01	1.508678e+01	
159.170108	1.549797e+01	1.480021e+01	1.526290e+01	1.657540e+01	1.311937e+01	1.593797e+01	1.713495e+01	1.534171e+01	
159.648133	1.575796e+01	1.504874e+01	1.551750e+01	1.685223e+01	1.334383e+01	1.620661e+01	1.742022e+01	1.560056e+01	
160.127593	1.602190e+01	1.530104e+01	1.577596e+01	1.713325e+01	1.357178e+01	1.647936e+01	1.770980e+01	1.586340e+01	
160.608493	1.628986e+01	1.555718e+01	1.603833e+01	1.741852e+01	1.380327e+01	1.675629e+01	1.800375e+01	1.613026e+01	
161.090838	1.656188e+01	1.581721e+01	1.630466e+01	1.770811e+01	1.403834e+01	1.703744e+01	1.830213e+01	1.640122e+01	
161.574631	1.683802e+01	1.608117e+01	1.657502e+01	1.800207e+01	1.427704e+01	1.732288e+01	1.860500e+01	1.667632e+01	
162.059877	1.711834e+01	1.634912e+01	1.684944e+01	1.830046e+01	1.451944e+01	1.761267e+01	1.891243e+01	1.695563e+01	
162.546580	1.740290e+01	1.662112e+01	1.712800e+01	1.860334e+01	1.476557e+01	1.790687e+01	1.922446e+01	1.723921e+01	
163.034745	1.769175e+01	1.689722e+01	1.741075e+01	1.891077e+01	1.501550e+01	1.820554e+01	1.954117e+01	1.752710e+01	
163.524376	1.798496e+01	1.717747e+01	1.769774e+01	1.922282e+01	1.526927e+01	1.850873e+01	1.986262e+01	1.781938e+01	
